iter	RMSE
0	0.3757970322
1	0.3641404048
2	0.3534967172
3	0.3430449902
4	0.3325346856
5	0.3224807348
6	0.3139268402
7	0.3053181286
8	0.2968984064
9	0.2881180449
10	0.2797539978
11	0.2724539575
12	0.2655524679
13	0.2591436805
14	0.2526901211
15	0.2464768062
16	0.2409887675
17	0.2354028027
18	0.2302187856
19	0.2255090193
20	0.2212887665
21	0.2161625926
22	0.2117462407
23	0.2080456565
24	0.2038587004
25	0.1992711254
26	0.195849868
27	0.1924604444
28	0.1890117568
29	0.1859069434
30	0.1828458281
31	0.179809388
32	0.1765853307
33	0.1739081867
34	0.1715375491
35	0.1690982485
36	0.1666033203
37	0.1641036643
38	0.1619524141
39	0.1599640574
40	0.1580581809
41	0.1560711516
42	0.1541769336
43	0.1528575489
44	0.151062255
45	0.1493596443
46	0.1478915606
47	0.1463905647
48	0.1448992231
49	0.1435108178
50	0.1422303522
51	0.1411163551
52	0.1399764364
53	0.1386862378
54	0.1373318794
55	0.1361086421
56	0.1350939201
57	0.1342957627
58	0.1333545124
59	0.1324512144
60	0.131545015
61	0.1306677652
62	0.1302030755
63	0.1296071848
64	0.1287264949
65	0.1280409906
66	0.1273954934
67	0.1266339891
68	0.1258650005
69	0.1252998577
70	0.1245945516
71	0.1236767643
72	0.1230078335
73	0.1222778737
74	0.1217898693
75	0.121408747
76	0.1208887859
77	0.1202786018
78	0.1198599877
79	0.1191692881
80	0.1184860997
81	0.1180162363
82	0.1176750698
83	0.1172799298
84	0.1166863078
85	0.1162728023
86	0.1161157636
87	0.1156976782
88	0.1152884727
89	0.1149171704
90	0.1144571647
91	0.1141082153
92	0.1136867278
93	0.1132506544
94	0.1128741756
95	0.1123967994
96	0.1118278977
97	0.1114777283
98	0.1110578222
99	0.1107358468
100	0.1102509609
101	0.1098537761
102	0.1093010859
103	0.1089355936
104	0.1086099528
105	0.1083001598
106	0.1078703341
107	0.1074721023
108	0.1069830194
109	0.1066817414
110	0.1064043699
111	0.106326155
112	0.1061055066
113	0.1058777922
114	0.1056242695
115	0.1052474163
116	0.10491801
117	0.1046734057
118	0.1042736445
